{'sde_rkB_s': '2670.48', 'sde_w_s': '4.72', 'sda_avgrq_sz': '45.96', 'sdd_avgrq_sz': '267.78', 'sda_r_s': '10.91', 'sdb_await': '3.53', 'make_time': '2016-03-10 17:02:53', 'avg_cpu_nice': '0.00', 'sde_svctm': '4.38', 'sde_r_s': '24.22', 'sda_util': '2.91', 'sdb_w_s': '4.72', 'sdb_util': '12.65', 'sde_util': '12.68', 'sda_avgqu_sz': '0.40', 'sdc_avgqu_sz': '0.21', 'sde_wkB_s': '1182.39', 'avg_cpu_idle': '92.15', 'sdb_avgqu_sz': '0.10', 'sda_await': '16.56', 'sdd_await': '3.68', 'sdc_rkB_s': '2785.68', 'sdd_avgqu_sz': '0.11', 'sdb_svctm': '4.28', 'sdd_util': '12.76', 'sdc_w_s': '4.76', 'sdd_w_s': '4.78', 'sdd_wkB_s': '1213.72', 'sdb_avgrq_sz': '266.22', 'sda_wkB_s': '328.70', 'sde_await': '39.29', 'sdc_svctm': '4.36', 'sde_avgqu_sz': '1.14', 'sda_w_s': '13.29', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '1180.47', 'sdd_rkB_s': '2682.87', 'sda_svctm': '1.20', 'sdc_wkB_s': '1183.75', 'sdb_r_s': '24.81', 'sdc_avgrq_sz': '265.02', 'sdb_rkB_s': '2750.20', 'avg_cpu_user': '1.61', 'sdc_await': '7.10', 'sdc_r_s': '25.19', 'sde_avgrq_sz': '266.24', 'sdd_svctm': '4.39', 'sda_rkB_s': '227.32', 'avg_cpu_system': '1.26', 'sdd_r_s': '24.33', 'sdc_util': '13.05'}
{'sde_rkB_s': '22756.80', 'sde_w_s': '0.60', 'sda_avgrq_sz': '15.12', 'sdd_avgrq_sz': '176.14', 'sda_r_s': '5.40', 'sdb_await': '7.87', 'make_time': '2016-03-10 17:02:58', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.42', 'sde_r_s': '179.40', 'sda_util': '4.14', 'sdb_w_s': '0.40', 'sdb_util': '26.24', 'sde_util': '97.56', 'sda_avgqu_sz': '0.35', 'sdc_avgqu_sz': '1.44', 'sde_wkB_s': '20.00', 'avg_cpu_idle': '69.93', 'sdb_avgqu_sz': '0.41', 'sda_await': '27.16', 'sdd_await': '52.27', 'sdc_rkB_s': '18603.20', 'sdd_avgqu_sz': '5.24', 'sdb_svctm': '4.99', 'sdd_util': '49.34', 'sdc_w_s': '1.20', 'sdd_w_s': '25.80', 'sdd_wkB_s': '121.60', 'sdb_avgrq_sz': '236.08', 'sda_wkB_s': '59.20', 'sde_await': '43.26', 'sdc_svctm': '3.75', 'sde_avgqu_sz': '7.82', 'sda_w_s': '7.40', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '8.80', 'sdd_rkB_s': '8703.20', 'sda_svctm': '3.23', 'sdc_wkB_s': '273.60', 'sdb_r_s': '52.20', 'sdc_avgrq_sz': '245.79', 'sdb_rkB_s': '6200.00', 'avg_cpu_user': '2.88', 'sdc_await': '9.32', 'sdc_r_s': '152.40', 'sde_avgrq_sz': '253.08', 'sdd_svctm': '4.92', 'sda_rkB_s': '37.60', 'avg_cpu_system': '2.83', 'sdd_r_s': '74.40', 'sdc_util': '57.54'}
{'sde_rkB_s': '21454.40', 'sde_w_s': '0.60', 'sda_avgrq_sz': '14.70', 'sdd_avgrq_sz': '232.78', 'sda_r_s': '13.40', 'sdb_await': '20.62', 'make_time': '2016-03-10 17:03:03', 'avg_cpu_nice': '0.00', 'sde_svctm': '6.13', 'sde_r_s': '162.60', 'sda_util': '1.16', 'sdb_w_s': '9.20', 'sdb_util': '47.32', 'sde_util': '100.00', 'sda_avgqu_sz': '0.04', 'sdc_avgqu_sz': '2.80', 'sde_wkB_s': '4.00', 'avg_cpu_idle': '65.60', 'sdb_avgqu_sz': '2.10', 'sda_await': '1.47', 'sdd_await': '10.38', 'sdc_rkB_s': '15604.80', 'sdd_avgqu_sz': '0.95', 'sdb_svctm': '4.65', 'sdd_util': '44.98', 'sdc_w_s': '0.60', 'sdd_w_s': '0.60', 'sdd_wkB_s': '134.40', 'sdb_avgrq_sz': '308.18', 'sda_wkB_s': '115.20', 'sde_await': '59.78', 'sdc_svctm': '5.78', 'sde_avgqu_sz': '15.85', 'sda_w_s': '14.80', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '4341.60', 'sdd_rkB_s': '10433.60', 'sda_svctm': '0.41', 'sdc_wkB_s': '20.80', 'sdb_r_s': '92.60', 'sdc_avgrq_sz': '239.29', 'sdb_rkB_s': '11344.80', 'avg_cpu_user': '4.14', 'sdc_await': '21.49', 'sdc_r_s': '130.00', 'sde_avgrq_sz': '262.97', 'sdd_svctm': '4.95', 'sda_rkB_s': '92.00', 'avg_cpu_system': '3.52', 'sdd_r_s': '90.20', 'sdc_util': '75.50'}
{'sde_rkB_s': '22636.00', 'sde_w_s': '7.00', 'sda_avgrq_sz': '13.73', 'sdd_avgrq_sz': '242.35', 'sda_r_s': '3.20', 'sdb_await': '9.70', 'make_time': '2016-03-10 17:03:08', 'avg_cpu_nice': '0.00', 'sde_svctm': '6.02', 'sde_r_s': '159.20', 'sda_util': '0.74', 'sdb_w_s': '1.00', 'sdb_util': '40.14', 'sde_util': '100.00', 'sda_avgqu_sz': '0.02', 'sdc_avgqu_sz': '1.39', 'sde_wkB_s': '3192.00', 'avg_cpu_idle': '61.25', 'sdb_avgqu_sz': '0.81', 'sda_await': '1.37', 'sdd_await': '11.95', 'sdc_rkB_s': '15900.00', 'sdd_avgqu_sz': '1.16', 'sdb_svctm': '4.82', 'sdd_util': '49.86', 'sdc_w_s': '0.60', 'sdd_w_s': '1.60', 'sdd_wkB_s': '265.60', 'sdb_avgrq_sz': '232.31', 'sda_wkB_s': '91.20', 'sde_await': '231.58', 'sdc_svctm': '4.43', 'sde_avgqu_sz': '32.34', 'sda_w_s': '13.00', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '175.20', 'sdd_rkB_s': '11391.20', 'sda_svctm': '0.46', 'sdc_wkB_s': '91.20', 'sdb_r_s': '82.20', 'sdc_avgrq_sz': '244.14', 'sdb_rkB_s': '9488.80', 'avg_cpu_user': '2.06', 'sdc_await': '10.61', 'sdc_r_s': '130.40', 'sde_avgrq_sz': '310.81', 'sdd_svctm': '5.18', 'sda_rkB_s': '20.00', 'avg_cpu_system': '2.47', 'sdd_r_s': '94.60', 'sdc_util': '58.06'}
{'sde_rkB_s': '23524.80', 'sde_w_s': '0.00', 'sda_avgrq_sz': '31.59', 'sdd_avgrq_sz': '251.91', 'sda_r_s': '6.60', 'sdb_await': '8.46', 'make_time': '2016-03-10 17:03:13', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.39', 'sde_r_s': '185.40', 'sda_util': '4.02', 'sdb_w_s': '8.80', 'sdb_util': '40.04', 'sde_util': '100.00', 'sda_avgqu_sz': '0.17', 'sdc_avgqu_sz': '3.40', 'sde_wkB_s': '0.00', 'avg_cpu_idle': '65.09', 'sdb_avgqu_sz': '1.01', 'sda_await': '10.67', 'sdd_await': '10.41', 'sdc_rkB_s': '20334.40', 'sdd_avgqu_sz': '1.14', 'sdb_svctm': '3.34', 'sdd_util': '53.32', 'sdc_w_s': '11.80', 'sdd_w_s': '2.20', 'sdd_wkB_s': '141.60', 'sdb_avgrq_sz': '224.23', 'sda_wkB_s': '116.00', 'sde_await': '51.73', 'sdc_svctm': '4.22', 'sde_avgqu_sz': '9.54', 'sda_w_s': '9.20', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '44.00', 'sdd_rkB_s': '13713.60', 'sda_svctm': '2.54', 'sdc_wkB_s': '67.20', 'sdb_r_s': '111.00', 'sdc_avgrq_sz': '232.89', 'sdb_rkB_s': '13387.20', 'avg_cpu_user': '5.09', 'sdc_await': '19.41', 'sdc_r_s': '163.40', 'sde_avgrq_sz': '253.77', 'sdd_svctm': '4.85', 'sda_rkB_s': '133.60', 'avg_cpu_system': '3.24', 'sdd_r_s': '107.80', 'sdc_util': '73.96'}
{'sde_rkB_s': '20493.60', 'sde_w_s': '0.60', 'sda_avgrq_sz': '12.86', 'sdd_avgrq_sz': '393.84', 'sda_r_s': '13.00', 'sdb_await': '11.90', 'make_time': '2016-03-10 17:03:18', 'avg_cpu_nice': '0.00', 'sde_svctm': '6.00', 'sde_r_s': '166.00', 'sda_util': '4.02', 'sdb_w_s': '1.60', 'sdb_util': '58.08', 'sde_util': '100.00', 'sda_avgqu_sz': '0.43', 'sdc_avgqu_sz': '1.42', 'sde_wkB_s': '4.80', 'avg_cpu_idle': '69.16', 'sdb_avgqu_sz': '1.65', 'sda_await': '16.40', 'sdd_await': '66.84', 'sdc_rkB_s': '13197.60', 'sdd_avgqu_sz': '7.26', 'sdb_svctm': '4.19', 'sdd_util': '57.34', 'sdc_w_s': '2.60', 'sdd_w_s': '23.60', 'sdd_wkB_s': '11427.20', 'sdb_avgrq_sz': '236.88', 'sda_wkB_s': '87.20', 'sde_await': '65.00', 'sdc_svctm': '4.57', 'sde_avgqu_sz': '10.89', 'sda_w_s': '13.00', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '261.60', 'sdd_rkB_s': '9958.40', 'sda_svctm': '1.55', 'sdc_wkB_s': '1018.40', 'sdb_r_s': '137.00', 'sdc_avgrq_sz': '253.86', 'sdb_rkB_s': '16154.40', 'avg_cpu_user': '2.01', 'sdc_await': '12.72', 'sdc_r_s': '109.40', 'sde_avgrq_sz': '246.08', 'sdd_svctm': '5.28', 'sda_rkB_s': '80.00', 'avg_cpu_system': '2.42', 'sdd_r_s': '85.00', 'sdc_util': '51.14'}
{'sde_rkB_s': '19303.20', 'sde_w_s': '5.40', 'sda_avgrq_sz': '23.48', 'sdd_avgrq_sz': '280.80', 'sda_r_s': '9.00', 'sdb_await': '18.99', 'make_time': '2016-03-10 17:03:23', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.76', 'sde_r_s': '160.60', 'sda_util': '0.92', 'sdb_w_s': '2.80', 'sdb_util': '75.04', 'sde_util': '95.68', 'sda_avgqu_sz': '0.08', 'sdc_avgqu_sz': '2.67', 'sde_wkB_s': '74.40', 'avg_cpu_idle': '68.87', 'sdb_avgqu_sz': '2.78', 'sda_await': '3.25', 'sdd_await': '16.83', 'sdc_rkB_s': '14726.40', 'sdd_avgqu_sz': '1.35', 'sdb_svctm': '5.13', 'sdd_util': '49.98', 'sdc_w_s': '0.60', 'sdd_w_s': '7.80', 'sdd_wkB_s': '3472.80', 'sdb_avgrq_sz': '253.73', 'sda_wkB_s': '99.20', 'sde_await': '54.16', 'sdc_svctm': '5.35', 'sde_avgqu_sz': '11.17', 'sda_w_s': '15.40', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '1207.20', 'sdd_rkB_s': '7815.20', 'sda_svctm': '0.38', 'sdc_wkB_s': '48.00', 'sdb_r_s': '143.40', 'sdc_avgrq_sz': '224.88', 'sdb_rkB_s': '17340.80', 'avg_cpu_user': '3.58', 'sdc_await': '20.35', 'sdc_r_s': '130.80', 'sde_avgrq_sz': '233.47', 'sdd_svctm': '6.22', 'sda_rkB_s': '187.20', 'avg_cpu_system': '2.75', 'sdd_r_s': '72.60', 'sdc_util': '70.36'}
{'sde_rkB_s': '19665.60', 'sde_w_s': '8.00', 'sda_avgrq_sz': '18.43', 'sdd_avgrq_sz': '266.09', 'sda_r_s': '1.80', 'sdb_await': '10.41', 'make_time': '2016-03-10 17:03:28', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.26', 'sde_r_s': '158.00', 'sda_util': '0.82', 'sdb_w_s': '0.60', 'sdb_util': '61.04', 'sde_util': '87.36', 'sda_avgqu_sz': '0.03', 'sdc_avgqu_sz': '1.40', 'sde_wkB_s': '37.60', 'avg_cpu_idle': '72.27', 'sdb_avgqu_sz': '1.64', 'sda_await': '3.65', 'sdd_await': '16.64', 'sdc_rkB_s': '16984.80', 'sdd_avgqu_sz': '1.91', 'sdb_svctm': '3.85', 'sdd_util': '64.12', 'sdc_w_s': '0.60', 'sdd_w_s': '4.80', 'sdd_wkB_s': '2164.80', 'sdb_avgrq_sz': '243.44', 'sda_wkB_s': '65.60', 'sde_await': '55.44', 'sdc_svctm': '4.06', 'sde_avgqu_sz': '6.98', 'sda_w_s': '7.40', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '8.00', 'sdd_rkB_s': '13082.40', 'sda_svctm': '0.89', 'sdc_wkB_s': '16.80', 'sdb_r_s': '157.80', 'sdc_avgrq_sz': '242.19', 'sdb_rkB_s': '19272.80', 'avg_cpu_user': '2.55', 'sdc_await': '9.95', 'sdc_r_s': '139.80', 'sde_avgrq_sz': '237.39', 'sdd_svctm': '5.60', 'sda_rkB_s': '19.20', 'avg_cpu_system': '2.63', 'sdd_r_s': '109.80', 'sdc_util': '56.96'}
{'sde_rkB_s': '14301.60', 'sde_w_s': '0.60', 'sda_avgrq_sz': '19.86', 'sdd_avgrq_sz': '162.68', 'sda_r_s': '6.40', 'sdb_await': '17.90', 'make_time': '2016-03-10 17:03:33', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.46', 'sde_r_s': '124.00', 'sda_util': '0.80', 'sdb_w_s': '9.40', 'sdb_util': '65.04', 'sde_util': '68.08', 'sda_avgqu_sz': '0.05', 'sdc_avgqu_sz': '11.08', 'sde_wkB_s': '4.80', 'avg_cpu_idle': '65.90', 'sdb_avgqu_sz': '2.90', 'sda_await': '2.08', 'sdd_await': '95.64', 'sdc_rkB_s': '19264.00', 'sdd_avgqu_sz': '12.09', 'sdb_svctm': '4.06', 'sdd_util': '65.38', 'sdc_w_s': '2.20', 'sdd_w_s': '39.00', 'sdd_wkB_s': '187.20', 'sdb_avgrq_sz': '290.92', 'sda_wkB_s': '193.60', 'sde_await': '14.64', 'sdc_svctm': '6.44', 'sde_avgqu_sz': '1.80', 'sda_w_s': '17.20', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '4421.60', 'sdd_rkB_s': '10094.40', 'sda_svctm': '0.34', 'sdc_wkB_s': '568.80', 'sdb_r_s': '150.80', 'sdc_avgrq_sz': '260.96', 'sdb_rkB_s': '18880.80', 'avg_cpu_user': '3.60', 'sdc_await': '72.77', 'sdc_r_s': '149.80', 'sde_avgrq_sz': '229.64', 'sdd_svctm': '5.17', 'sda_rkB_s': '40.80', 'avg_cpu_system': '2.65', 'sdd_r_s': '87.40', 'sdc_util': '97.86'}
{'sde_rkB_s': '18915.20', 'sde_w_s': '0.20', 'sda_avgrq_sz': '14.29', 'sdd_avgrq_sz': '244.86', 'sda_r_s': '4.60', 'sdb_await': '19.03', 'make_time': '2016-03-10 17:03:38', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.64', 'sde_r_s': '154.60', 'sda_util': '3.78', 'sdb_w_s': '1.20', 'sdb_util': '70.74', 'sde_util': '87.24', 'sda_avgqu_sz': '0.24', 'sdc_avgqu_sz': '4.92', 'sde_wkB_s': '6.40', 'avg_cpu_idle': '66.42', 'sdb_avgqu_sz': '2.46', 'sda_await': '16.09', 'sdd_await': '14.45', 'sdc_rkB_s': '13490.40', 'sdd_avgqu_sz': '1.37', 'sdb_svctm': '5.42', 'sdd_util': '53.06', 'sdc_w_s': '1.00', 'sdd_w_s': '8.40', 'sdd_wkB_s': '2656.80', 'sdb_avgrq_sz': '251.80', 'sda_wkB_s': '80.00', 'sde_await': '31.19', 'sdc_svctm': '6.11', 'sde_avgqu_sz': '4.95', 'sda_w_s': '10.40', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '144.80', 'sdd_rkB_s': '8631.20', 'sda_svctm': '2.52', 'sdc_wkB_s': '149.60', 'sdb_r_s': '129.40', 'sdc_avgrq_sz': '231.58', 'sdb_rkB_s': '16297.60', 'avg_cpu_user': '2.01', 'sdc_await': '41.87', 'sdc_r_s': '116.80', 'sde_avgrq_sz': '244.47', 'sdd_svctm': '5.75', 'sda_rkB_s': '27.20', 'avg_cpu_system': '2.39', 'sdd_r_s': '83.80', 'sdc_util': '72.02'}
{'sde_rkB_s': '19756.80', 'sde_w_s': '0.20', 'sda_avgrq_sz': '21.19', 'sdd_avgrq_sz': '226.95', 'sda_r_s': '8.20', 'sdb_await': '22.76', 'make_time': '2016-03-10 17:03:43', 'avg_cpu_nice': '0.00', 'sde_svctm': '5.27', 'sde_r_s': '160.20', 'sda_util': '3.80', 'sdb_w_s': '0.40', 'sdb_util': '81.86', 'sde_util': '84.52', 'sda_avgqu_sz': '0.09', 'sdc_avgqu_sz': '2.26', 'sde_wkB_s': '0.00', 'avg_cpu_idle': '67.60', 'sdb_avgqu_sz': '3.20', 'sda_await': '6.23', 'sdd_await': '15.17', 'sdc_rkB_s': '17104.80', 'sdd_avgqu_sz': '1.61', 'sdb_svctm': '5.82', 'sdd_util': '56.88', 'sdc_w_s': '0.80', 'sdd_w_s': '1.20', 'sdd_wkB_s': '112.00', 'sdb_avgrq_sz': '235.79', 'sda_wkB_s': '92.80', 'sde_await': '25.04', 'sdc_svctm': '4.80', 'sde_avgqu_sz': '3.94', 'sda_w_s': '6.60', 'avg_cpu_iowait': '0.00', 'sdb_wkB_s': '8.80', 'sdd_rkB_s': '12007.20', 'sda_svctm': '2.57', 'sdc_wkB_s': '152.80', 'sdb_r_s': '140.20', 'sdc_avgrq_sz': '246.19', 'sdb_rkB_s': '16567.20', 'avg_cpu_user': '2.88', 'sdc_await': '16.14', 'sdc_r_s': '139.40', 'sde_avgrq_sz': '246.34', 'sdd_svctm': '5.33', 'sda_rkB_s': '64.00', 'avg_cpu_system': '3.06', 'sdd_r_s': '105.60', 'sdc_util': '67.32'}
